1,25,25.45,1
2,25.175,25.91,1
3,25.175,25.45,1
4,25.35,25.91,1
5,25.35,25.45,1
6,25.525,25.91,1
7,25.7,25.45,1
8,25.875,26.36,1
9,26.05,25.45,1
10,26.05,25.91,1
11,26.225,26.36,1
12,26.4,26.36,1
13,26.575,25,1
14,26.575,26.36,1
15,26.75,26.82,1
16,26.925,27.27,1
17,27.1,27.27,1
18,27.275,27.27,1
19,27.45,27.27,1
20,27.625,27.73,1
21,27.8,27.73,1
22,27.975,28.18,1
23,28.15,28.18,1
24,28.325,28.18,1
25,28.5,28.64,1
26,28.675,27.73,1
27,28.675,28.18,1
28,28.85,29.09,1
29,29.025,29.09,1
30,29.2,29.55,1
31,29.375,29.09,1
32,29.55,28.64,1
33,29.55,30,1
34,29.725,30,1
35,29.9,30.42,1
36,29.9,30,1
37,29.825,30,1
38,29.65,30,1
39,29.475,30.42,1
40,29.475,30,1
41,29.475,29.55,1
42,29.3,29.55,1
43,29.125,29.55,1
44,28.95,28.18,1
45,28.95,29.09,1
46,28.775,29.09,1
47,28.6,29.09,1
48,28.425,28.64,1
49,28.25,28.64,1
50,28.075,29.09,1
51,28.075,28.18,1
52,27.9,28.18,1
53,27.725,28.18,1
54,27.55,28.18,1
55,27.55,27.73,1
56,27.375,27.73,1
57,27.2,27.27,1
58,27.025,27.73,1
59,27.025,27.27,1
60,26.85,26.82,1
61,26.675,27.27,1
62,26.675,27.27,1
63,26.675,26.82,1
64,26.5,25.91,1
65,26.5,26.82,1
66,26.325,26.82,1
67,26.15,26.82,1
68,26.15,26.36,1
69,25.975,26.82,1
70,25.975,26.36,1
71,25.8,25.91,1
72,25.625,26.36,1
73,25.625,26.36,1
74,25.625,25.91,1
75,25.45,25.91,1
76,25.275,25.91,1
77,25.275,25.91,1
78,25.275,25.91,1
79,25.275,25.91,1
80,25.275,25.91,1
81,25.275,25.45,1
82,25.1,25.91,1
83,25.1,25.45,1
84,25,25,2
85,25.175,25.91,2
86,25.175,25.91,2
87,25.175,26.36,2
88,25.175,25.91,2
89,25.175,25.45,2
90,25.35,25.91,2
91,25.35,25.45,2
92,25.525,25.45,2
93,25.7,25.91,2
94,25.875,25.91,2
95,26.05,25.45,2
96,26.05,25.91,2
97,26.225,25.45,2
98,26.225,25.45,2
99,26.225,25.45,2
100,26.225,25.45,2
101,26.225,25.45,2
102,26.225,25.91,2
103,26.4,25.91,2
104,26.575,25.45,2
105,26.575,25.45,2
106,26.575,25.45,2
107,26.575,25.45,2
108,26.575,25.45,2
109,26.575,25.45,2
110,26.575,25.91,2
111,26.575,25.45,2
112,26.575,25.45,2
113,26.575,25.45,2
114,26.575,25.45,2
115,26.575,25.45,2
116,26.575,25.45,2
117,26.575,25.45,2
118,26.575,25.45,2
119,26.575,25.45,2
120,26.575,25.45,2
121,26.575,25.45,2
122,26.575,25.45,2
123,26.575,25.45,2
124,26.575,25.45,2
125,26.575,25.91,2
126,26.575,25.91,2
127,26.575,25.45,2
128,26.575,25.45,2
129,26.575,25.45,2
130,26.575,25.45,2
131,26.575,25,2
132,26.575,25.91,2
133,26.575,25.91,2
134,26.575,25.91,2
135,26.575,25.45,2
136,26.575,25.91,2
137,26.575,25.91,2
138,26.575,25.91,2
139,26.575,25.91,2
140,26.575,25.91,2
141,26.575,25.45,2
142,26.575,25.45,2
143,26.575,25.91,2
144,26.575,25.91,2
145,26.575,25.91,2
146,26.575,25.45,2
147,26.575,25.91,2
148,26.575,25.91,2
149,26.575,25.91,2
150,26.575,25.45,2
151,26.575,25.91,2
152,26.575,25.91,2
153,26.575,25.45,2
154,26.575,25.91,2
